"wso_id";"name_short";"sea_cd";"area_km2";"zone"
1101576;"";2;7.40000000000;""
1061553;"";2;3.50000000000;""
1063786;"";2;2.20000000000;""
1090519;"";2;0.00000000000;""
1064844;"";2;1.50000000000;""
1063789;"";2;3.30000000000;""
1128255;"";5;5.00000000000;"NS"
1038100;"";5;93.6000000000;"NS"
1071304;"";2;5.60000000000;""
1067105;"";2;1.20000000000;""
1038108;"";5;145.900000000;"NS"
1037573;"";2;55.0000000000;""
1067737;"";2;7.40000000000;""
1067732;"";2;7.30000000000;""
1136791;"";5;6.10000000000;"NS"
1126813;"";5;8.00000000000;"NS"
1067739;"";2;6.80000000000;""
1056250;"";5;32.7000000000;"NS"
1126436;"";5;0.00000000000;"NS"
1126432;"";5;14.0000000000;"NS"
1063298;"";2;2.70000000000;""
1066986;"";2;7.80000000000;""
1069659;"";2;6.40000000000;""
1066983;"";2;3.60000000000;""
1052132;"";5;22.9000000000;"NS"
1060824;"";2;2.90000000000;""
1079863;"";2;8.00000000000;""
1037042;"";2;277.400000000;""
1111420;"";5;2.50000000000;"NS"
1123665;"";5;3.30000000000;"NS"
1109546;"";5;21.7000000000;"NS"
1086365;"";2;4.70000000000;""
1086361;"";2;9.80000000000;""
1064853;"";2;4.70000000000;""
1093818;"";2;5.80000000000;""
1079315;"";2;2.60000000000;""
1117091;"";5;1.60000000000;"NS"
1104412;"";5;1.50000000000;"NS"
1055922;"SE_Inla";5;79.5000000000;"NS"
1123950;"";5;5.60000000000;"NS"
1067117;"";2;1.00000000000;""
1071317;"";2;7.80000000000;""
1037542;"";2;71.9000000000;""
1038703;"";5;115.900000000;"NS"
1042358;"";2;27.7000000000;""
1038709;"";5;60.1000000000;"NS"
1044588;"";2;24.1000000000;""
1103280;"";5;5.40000000000;"NS"
1101646;"";2;5.30000000000;""
1126403;"";5;0.00000000000;"NS"
1066992;"";2;1.30000000000;""
1130609;"";5;5.30000000000;"NS"
1093302;"";2;13.8000000000;""
1111817;"";5;1.70000000000;"NS"
1037057;"";2;126.700000000;""
1044094;"";2;26.1000000000;""
1052205;"";5;23.4000000000;"NS"
1079411;"";2;9.90000000000;""
1107230;"";5;5.20000000000;"NS"
1090955;"";2;7.50000000000;""
1059989;"";2;7.40000000000;""
1070284;"";2;4.40000000000;""
1104465;"";5;4.40000000000;"NS"
1093405;"";2;1.40000000000;""
1064448;"";2;4.20000000000;""
1125187;"";5;5.10000000000;"NS"
1111302;"";5;3.50000000000;"NS"
1071361;"";2;5.20000000000;""
1119300;"";5;0.00000000000;"NS"
1037553;"";2;29.8000000000;""
1038711;"";5;55.9000000000;"NS"
1060328;"";2;7.50000000000;""
1047880;"";2;13.3000000000;""
1126879;"";5;2.50000000000;"NS"
1098045;"";2;2.90000000000;""
1130617;"";5;24.2000000000;"NS"
1077925;"";2;0.00000000000;""
1070194;"";2;3.30000000000;""
1064350;"";2;9.70000000000;""
1093313;"";2;9.80000000000;""
1066581;"";2;6.20000000000;""
1111866;"";5;4.00000000000;"NS"
1111865;"";5;3.30000000000;"NS"
1119861;"";5;2.80000000000;"NS"
1068801;"";2;2.50000000000;""
1100828;"";2;5.60000000000;""
1038262;"";5;60.6000000000;"NS"
1079467;"";2;2.90000000000;""
1037657;"";5;25.5000000000;"NS"
1059995;"";2;4.90000000000;""
1051995;"";5;66.8000000000;"NS"
1098546;"";2;2.70000000000;""
1070297;"";2;3.70000000000;""
1070292;"";2;2.40000000000;""
1064450;"";2;2.40000000000;""
1070298;"";2;1.20000000000;""
1066683;"";2;3.50000000000;""
1055909;"";5;56.4000000000;"NS"
1068336;"";2;9.10000000000;""
1111311;"";5;2.50000000000;"NS"
1055529;"";5;263.500000000;"NS"
1096721;"";2;2.70000000000;""
1051087;"";5;29.3000000000;"NS"
1098057;"";2;1.70000000000;""
1051084;"";5;41.7000000000;"NS"
1059080;"";2;7.60000000000;""
1059088;"";2;4.80000000000;""
1052164;"";5;11.2000000000;"NS"
1093365;"";2;16.7000000000;""
1041128;"";2;6.40000000000;""
1068817;"";2;8.50000000000;""
1055031;"";5;27.8000000000;"NS"
1111419;"";5;3.50000000000;"NS"
1074112;"";2;2.80000000000;""
1047386;"";2;24.9000000000;""
1074119;"";2;1.10000000000;""
1092199;"";2;3.30000000000;""
1059588;"";2;1.90000000000;""
1092781;"";2;3.20000000000;""
1052260;"";5;6.00000000000;"NS"
1110288;"";5;1.30000000000;"NS"
1118289;"";5;24.5000000000;"NS"
1041229;"";2;9.60000000000;""
1118288;"";5;3.40000000000;"NS"
1073999;"";2;4.50000000000;""
1119365;"";5;8.80000000000;"NS"
1068305;"";2;3.40000000000;""
1067141;"";2;1.00000000000;""
1038772;"";5;498.300000000;"NS"
1038770;"";5;393.500000000;"NS"
1096737;"";2;3.90000000000;""
1096735;"";2;8.90000000000;""
1041739;"";2;12.3000000000;""
1051090;"";5;12.1000000000;"NS"
1092297;"";2;1.50000000000;""
1059099;"";2;2.80000000000;""
1047486;"";2;17.4000000000;""
1086455;"";2;2.10000000000;""
1098659;"";2;31.4000000000;""
1041726;"";2;9.30000000000;""
1041727;"";2;16.0000000000;""
1104358;"";5;1.40000000000;"NS"
1068864;"";2;6.20000000000;""
1041728;"";2;23.0000000000;""
1111840;"";5;2.30000000000;"NS"
1038246;"";5;173.200000000;"NS"
